id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
PRJ_0163,доп работы,,"18 795,00","3 580,00","12 465,00","23 270,00","7 160,00","54 595,00","54 915,00","22 535,00","13 905,00","8 375,00","11 635,00",в ноль,"10 740,00","8 950,00","2 685,00",Manager 06
PRJ_0194,первая часть оплаты,,,,"1 400,00","1 400,00","1 400,00","1 400,00","1 400,00","89 850,00","94 050,00","94 050,00",,,,,,Manager 01
PRJ_0194,вторая часть оплаты,,,,,,,,,"4 200,00",,,,,,,,Manager 01
PRJ_0194,вторая часть оплаты,,,,"3 165,00","5 275,00","3 165,00","3 165,00",в ноль,в ноль,в ноль,в ноль,,,,,,Manager 01
PRJ_0260,первая часть оплаты,,,,,,,,"95 820,00","19 400,00",стоп,,,,,,,Manager 07
PRJ_0260,вторая часть оплаты,,,,,,,,"29 704,26",в ноль,стоп,,,,,,,Manager 07
PRJ_0014,первая часть оплаты,,,,,,,,"44 734,50","43 362,00","48 541,50","54 414,00",,,,,,Manager 06
PRJ_0014,вторая часть оплаты,,,,,,,,в ноль,"1 705,32","927,66","1 404,26",,,,,,Manager 06
PRJ_0136,первая часть оплаты,"388 195,00","388 195,00","547 400,00","547 400,00","539 295,25","539 295,25","539 295,25","539 295,25","539 295,25","539 295,25","539 295,25","773 663,75","776 195,25","776 195,25","776 195,25","771 132,25",Manager 07
PRJ_0136,вторая часть оплаты,"14 280,00","124 916,00",в ноль,в ноль,"33 464,50","55 683,50","10 157,50",в ноль,"5 975,50","58 246,25","16 728,00",в ноль,в ноль,в ноль,в ноль,в ноль,Manager 07
PRJ_0247,,,,,,,,,,"48 245,00","42 145,00","34 090,00",,,,,,Manager 01
